Gender,Age,Hometown,University,Year,STEM_Major,Diet_Quality,Internet_Quality,Employment,Study_Habit,Stress_Level,Self_Study_Hrs,Tutoring_Hrs_Wk,AI_Tool_Usage,Social_Media_Hrs,Gaming_Hrs,Exercise_Days_Wk,Sleep_Hrs,Attendance_Rate,Commute_Time,Study_Group_Freq,Extracurricular,GPA,Performance_Tier
Female,18,Phnom Penh (Urban),University Of Puthisastra,Year 1,No,Average,Excellent,Unemployed / Full-time student,Irregular study,5.5,1.0,2.0,Sometimes,1.5,1.5,1.5,4.0,67.0,Under 15 minutes,Rarely (Before exams only),Yes,4.0,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,1.5,4.0,2.0,Often,1.5,1.5,1.5,8.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.67,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Average,Good,Working part-time,Irregular study,7.5,4.0,0.0,Sometimes,1.5,0.0,1.5,8.0,95.0,Under 15 minutes,Rarely (Before exams only),No,3.81,Outstanding / Excellent
Male,18,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,5.5,4.0,0.0,Often,3.5,3.5,1.5,6.0,95.0,31–60 minutes,Rarely (Before exams only),Yes,3.71,Outstanding / Excellent
Female,29,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 4,Yes,Good,Good,Working full-time,Cramming,3.5,4.0,0.0,Never,1.5,0.0,3.5,6.0,95.0,15–30 minutes,Sometimes (Weekly),No,3.9,Outstanding / Excellent
Female,19,Province (Rural / Semi-Urban),Royal University Of Phnom Penh(Rupp),Year 2,No,Poor,Poor,Unemployed / Full-time student,Cramming,3.5,1.0,0.0,Sometimes,5.0,1.5,5.0,4.0,95.0,15–30 minutes,Never,No,3.0,Very Good / Good
Male,39,Province (Rural / Semi-Urban),Royal University Of Law And Economics,Year 4,No,Good,Good,Working full-time,Regular study,1.5,1.0,0.0,Rarely,1.5,0.0,0.0,5.0,95.0,Under 15 minutes,Rarely (Before exams only),No,3.8,Outstanding / Excellent
Male,23,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Average,Poor,Working part-time,Irregular study,5.5,1.0,0.0,Always,1.5,5.0,0.0,5.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.01,Very Good / Good
Male,22,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 4,Yes,Good,Good,Unemployed / Full-time student,Irregular study,3.5,2.0,0.0,Always,1.5,0.0,5.0,8.0,95.0,Under 15 minutes,Rarely (Before exams only),Yes,3.7,Outstanding / Excellent
Female,20,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,3.0,0.0,Always,1.5,0.5,1.5,8.0,95.0,31–60 minutes,Sometimes (Weekly),No,3.39,Very Good / Good
Female,21,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Average,Excellent,Unemployed / Full-time student,Regular study,7.5,5.0,5.0,Always,0.5,0.0,1.5,6.0,95.0,15–30 minutes,Frequently (Multiple times a week),Yes,3.5,Outstanding / Excellent
Female,18,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,4.0,10.0,Often,3.5,0.0,1.5,4.0,82.0,Under 15 minutes,Sometimes (Weekly),No,4.0,Outstanding / Excellent
Female,20,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Good,Working part-time,Cramming,5.5,2.0,0.0,Often,1.5,0.0,3.5,7.0,95.0,31–60 minutes,Rarely (Before exams only),Yes,3.0,Very Good / Good
Female,18,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,Yes,Average,Poor,Unemployed / Full-time student,Cramming,7.5,4.0,0.0,Always,1.5,1.5,0.0,7.0,95.0,Under 15 minutes,Rarely (Before exams only),No,2.91,Fair / Average
Female,20,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,Yes,Good,Fair,Unemployed / Full-time student,Cramming,5.5,3.0,2.0,Often,1.5,0.5,1.5,6.0,95.0,31–60 minutes,Sometimes (Weekly),No,3.05,Very Good / Good
Female,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,7.5,2.0,0.0,Often,3.5,0.0,1.5,6.0,95.0,15–30 minutes,Never,No,3.0,Very Good / Good
Male,18,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,7.5,3.0,8.0,Sometimes,1.5,0.5,1.5,4.0,82.0,31–60 minutes,Sometimes (Weekly),Yes,3.0,Very Good / Good
Male,19,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Poor,Unemployed / Full-time student,Irregular study,5.5,3.0,10.0,Always,0.5,0.5,3.5,6.0,95.0,15–30 minutes,Rarely (Before exams only),No,2.9,Fair / Average
Female,18,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Good,Good,Unemployed / Full-time student,Regular study,7.5,3.0,0.0,Always,3.5,0.0,0.0,7.0,95.0,31–60 minutes,Rarely (Before exams only),No,4.0,Outstanding / Excellent
Female,20,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Irregular study,7.5,4.0,5.0,Often,1.5,0.5,0.0,7.0,55.0,Under 15 minutes,Frequently (Multiple times a week),Yes,2.48,At-Risk
Male,20,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Good,Good,Working part-time,Regular study,5.5,4.0,0.0,Often,1.5,0.0,5.0,6.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,4.0,Outstanding / Excellent
Female,19,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,5.5,4.0,2.0,Always,1.5,0.5,5.0,8.0,82.0,31–60 minutes,Sometimes (Weekly),Yes,2.48,At-Risk
Female,19,Phnom Penh (Urban),Camed Business School,Year 2,No,Good,Excellent,Unemployed / Full-time student,Cramming,7.5,2.0,0.0,Always,3.5,1.5,0.0,9.0,95.0,Under 15 minutes,Rarely (Before exams only),Yes,4.0,Outstanding / Excellent
Female,19,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Good,Good,Working part-time,Regular study,7.5,5.0,5.0,Sometimes,0.5,0.0,1.5,7.0,95.0,15–30 minutes,Sometimes (Weekly),No,4.0,Outstanding / Excellent
Female,19,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Poor,Unemployed / Full-time student,Irregular study,7.5,2.0,2.0,Always,5.0,0.0,0.0,8.0,95.0,Under 15 minutes,Frequently (Multiple times a week),No,3.5,Outstanding / Excellent
Male,21,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Fair,Unemployed / Full-time student,Irregular study,5.5,3.0,0.0,Often,3.5,0.0,5.0,6.0,82.0,Over 1 hour,Sometimes (Weekly),Yes,2.0,At-Risk
Male,20,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Average,Poor,Unemployed / Full-time student,Regular study,9.5,3.0,0.0,Often,1.5,0.0,1.5,4.0,95.0,31–60 minutes,Rarely (Before exams only),No,4.0,Outstanding / Excellent
Female,18,Province (Rural / Semi-Urban),University Of Puthisastra,Year 2,Yes,Average,Good,Unemployed / Full-time student,Irregular study,7.5,4.0,0.0,Always,5.0,0.0,1.5,6.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.25,Very Good / Good
Male,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Poor,Unemployed / Full-time student,Regular study,7.5,3.0,8.0,Sometimes,1.5,0.5,1.5,6.0,82.0,Under 15 minutes,Rarely (Before exams only),No,2.0,At-Risk
Male,19,Province (Rural / Semi-Urban),Camed Business School,Year 2,No,Average,Fair,Unemployed / Full-time student,Regular study,3.5,5.0,2.0,Always,5.0,3.5,3.5,6.0,95.0,15–30 minutes,Frequently (Multiple times a week),Yes,3.77,Outstanding / Excellent
Female,20,Phnom Penh (Urban),Camed Business School,Year 2,No,Good,Good,Unemployed / Full-time student,Irregular study,7.5,1.0,0.0,Always,5.0,0.5,1.5,8.0,95.0,15–30 minutes,Never,Yes,4.0,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Excellent,Unemployed / Full-time student,Cramming,5.5,4.0,0.0,Always,3.5,3.5,3.5,8.0,82.0,15–30 minutes,Rarely (Before exams only),No,3.8,Outstanding / Excellent
Male,21,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Fair,Working part-time,Cramming,7.5,2.0,2.0,Always,3.5,0.0,0.0,6.0,95.0,31–60 minutes,Rarely (Before exams only),No,3.95,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Good,Working part-time,Irregular study,5.5,3.0,2.0,Always,3.5,1.5,0.0,7.0,95.0,31–60 minutes,Rarely (Before exams only),Yes,3.5,Outstanding / Excellent
Female,19,Phnom Penh (Urban),Royal University Of Law And Economics (Rule),Year 2,No,Good,Good,Unemployed / Full-time student,Regular study,7.5,2.0,0.0,Often,3.5,0.0,1.5,7.0,95.0,Under 15 minutes,Sometimes (Weekly),No,4.0,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Excellent,Unemployed / Full-time student,Irregular study,9.5,1.0,0.0,Always,3.5,3.5,1.5,8.0,67.0,31–60 minutes,Rarely (Before exams only),No,2.98,Fair / Average
Female,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Average,Poor,Working part-time,Cramming,7.5,1.0,0.0,Always,3.5,0.0,0.0,5.0,67.0,Under 15 minutes,Never,No,3.0,Very Good / Good
Male,20,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Good,Good,Working part-time,Regular study,3.5,3.0,2.0,Often,1.5,0.0,1.5,7.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.77,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 3,Yes,Average,Fair,Unemployed / Full-time student,Irregular study,7.5,1.0,0.0,Always,3.5,1.5,1.5,5.0,82.0,31–60 minutes,Never,No,4.0,Outstanding / Excellent
Female,19,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Average,Good,Unemployed / Full-time student,Cramming,5.5,1.0,0.0,Always,3.5,0.5,0.0,5.0,95.0,31–60 minutes,Sometimes (Weekly),No,3.81,Outstanding / Excellent
Male,21,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 4,Yes,Average,Good,Working full-time,Cramming,7.5,1.0,0.0,Always,3.5,0.5,1.5,7.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,3.56,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Fair,Unemployed / Full-time student,Regular study,5.5,1.0,0.0,Always,1.5,0.5,5.0,6.0,95.0,15–30 minutes,Rarely (Before exams only),No,3.9,Outstanding / Excellent
Female,21,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Average,Poor,Working part-time,Irregular study,5.5,4.0,5.0,Sometimes,3.5,0.5,0.0,6.0,82.0,15–30 minutes,Sometimes (Weekly),No,2.5,Fair / Average
Male,20,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Average,Fair,Working part-time,Cramming,7.5,2.0,0.0,Often,1.5,1.5,1.5,4.0,95.0,Under 15 minutes,Rarely (Before exams only),No,3.39,Very Good / Good
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,4.0,0.0,Rarely,3.5,3.5,5.0,7.0,95.0,15–30 minutes,Never,No,3.84,Outstanding / Excellent
Female,20,Province (Rural / Semi-Urban),University Of Health Science (Uhs),Year 3,Yes,Good,Good,Unemployed / Full-time student,Regular study,7.5,6.0,0.0,Often,1.5,0.0,1.5,6.0,95.0,Under 15 minutes,Frequently (Multiple times a week),Yes,3.75,Outstanding / Excellent
Female,20,Province (Rural / Semi-Urban),Paragon University,Year 3,No,Average,Good,Unemployed / Full-time student,Regular study,7.5,2.0,0.0,Often,3.5,0.0,5.0,6.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.0,Very Good / Good
Female,20,Province (Rural / Semi-Urban),University Of Economics And Finance (Uef),Year 3,No,Good,Good,Working part-time,Cramming,5.5,3.0,5.0,Always,1.5,0.0,1.5,9.0,95.0,15–30 minutes,Rarely (Before exams only),No,3.5,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),Royal University Of Agriculture,Year 2,Yes,Good,Poor,Working part-time,Regular study,5.5,3.0,2.0,Sometimes,3.5,1.5,1.5,8.0,95.0,15–30 minutes,Rarely (Before exams only),Yes,3.5,Outstanding / Excellent
Female,21,Phnom Penh (Urban),University Of Health Science (Uhs),Year 3,Yes,Average,Good,Unemployed / Full-time student,Regular study,7.5,3.0,8.0,Always,5.0,0.0,0.0,7.0,82.0,31–60 minutes,Sometimes (Weekly),No,3.95,Outstanding / Excellent
Male,21,Province (Rural / Semi-Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,7.5,4.0,10.0,Often,5.0,1.5,1.5,6.0,82.0,31–60 minutes,Sometimes (Weekly),No,3.87,Outstanding / Excellent
Male,21,Phnom Penh (Urban),Camed Business School,Year 2,No,Good,Good,Unemployed / Full-time student,Regular study,7.5,3.0,8.0,Always,3.5,1.5,3.5,5.0,82.0,31–60 minutes,Sometimes (Weekly),Yes,3.3,Very Good / Good
Female,20,Province (Rural / Semi-Urban),University Of Puthisastra,Year 2,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,3.0,0.0,Always,5.0,3.5,1.5,4.0,95.0,15–30 minutes,Sometimes (Weekly),Yes,3.56,Outstanding / Excellent
Female,20,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,Yes,Average,Fair,Unemployed / Full-time student,Regular study,5.5,2.0,2.0,Sometimes,1.5,0.5,1.5,7.0,82.0,31–60 minutes,Sometimes (Weekly),Yes,2.4,At-Risk
Male,21,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Fair,Working part-time,Irregular study,7.5,2.0,0.0,Often,1.5,0.5,5.0,7.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.97,Outstanding / Excellent
Male,21,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Poor,Fair,Unemployed / Full-time student,Regular study,7.5,3.0,0.0,Often,3.5,0.0,1.5,5.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,3.75,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Fair,Working part-time,Regular study,5.5,4.0,2.0,Always,3.5,1.5,1.5,6.0,95.0,15–30 minutes,Rarely (Before exams only),Yes,3.5,Outstanding / Excellent
Female,21,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Poor,Good,Working part-time,Cramming,7.5,1.0,0.0,Always,5.0,0.0,0.0,4.0,82.0,31–60 minutes,Rarely (Before exams only),No,3.05,Very Good / Good
Male,21,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Fair,Unemployed / Full-time student,Irregular study,5.5,0.0,0.0,Always,1.5,0.0,0.0,7.0,82.0,31–60 minutes,Never,No,3.2,Very Good / Good
Female,19,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Fair,Working full-time,Irregular study,5.5,0.0,0.0,Always,5.0,0.0,1.5,5.0,82.0,15–30 minutes,Rarely (Before exams only),No,2.9,Fair / Average
Male,20,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,No,Average,Fair,Working full-time,Cramming,7.5,2.0,0.0,Always,3.5,3.5,1.5,5.0,95.0,Under 15 minutes,Sometimes (Weekly),No,3.0,Very Good / Good
Male,22,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Good,Unemployed / Full-time student,Regular study,7.5,1.0,2.0,Always,3.5,1.5,5.0,6.0,82.0,15–30 minutes,Rarely (Before exams only),No,2.5,Fair / Average
Female,19,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Fair,Working full-time,Regular study,7.5,3.0,8.0,Always,3.5,0.0,1.5,6.0,95.0,31–60 minutes,Sometimes (Weekly),No,3.5,Outstanding / Excellent
Female,20,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Good,Poor,Working part-time,Regular study,7.5,1.0,0.0,Always,5.0,0.0,0.0,6.0,95.0,31–60 minutes,Rarely (Before exams only),No,3.0,Very Good / Good
Female,21,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Good,Working full-time,Regular study,7.5,1.0,2.0,Sometimes,3.5,0.5,1.5,7.0,95.0,Over 1 hour,Sometimes (Weekly),Yes,3.11,Very Good / Good
Male,20,Province (Rural / Semi-Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,Yes,Average,Fair,Working full-time,Regular study,5.5,3.0,0.0,Sometimes,3.5,0.0,3.5,7.0,95.0,15–30 minutes,Sometimes (Weekly),No,3.3,Very Good / Good
Male,19,Phnom Penh (Urban),Institute Of Technology Of Cambodia(Itc),Year 2,Yes,Good,Fair,Unemployed / Full-time student,Cramming,9.5,5.0,2.0,Always,1.5,1.5,3.5,6.0,82.0,31–60 minutes,Sometimes (Weekly),Yes,2.5,Fair / Average
Male,20,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Average,Good,Unemployed / Full-time student,Regular study,3.5,1.0,0.0,Often,3.5,1.5,0.0,5.0,82.0,Under 15 minutes,Sometimes (Weekly),No,3.75,Outstanding / Excellent
Male,20,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Average,Good,Unemployed / Full-time student,Regular study,7.5,4.0,0.0,Often,5.0,1.5,5.0,7.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,3.5,Outstanding / Excellent
Female,19,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 1,No,Good,Fair,Unemployed / Full-time student,Cramming,5.5,5.0,0.0,Often,5.0,3.5,1.5,6.0,95.0,Under 15 minutes,Rarely (Before exams only),Yes,2.79,Fair / Average
Male,21,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Good,Fair,Unemployed / Full-time student,Cramming,3.5,3.0,2.0,Always,3.5,0.0,3.5,7.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.65,Outstanding / Excellent
Male,23,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 4,Yes,Excellent,Excellent,Working part-time,Regular study,3.5,3.0,0.0,Often,1.5,1.5,5.0,7.0,95.0,15–30 minutes,Never,Yes,3.86,Outstanding / Excellent
Female,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 1,Yes,Average,Good,Unemployed / Full-time student,Regular study,5.5,2.0,0.0,Often,1.5,0.0,3.5,8.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.0,Very Good / Good
Male,21,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 3,Yes,Good,Good,Unemployed / Full-time student,Regular study,5.5,2.0,2.0,Often,1.5,3.5,1.5,7.0,82.0,15–30 minutes,Rarely (Before exams only),Yes,3.8,Outstanding / Excellent
Male,17,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 1,Yes,Average,Fair,Unemployed / Full-time student,Regular study,5.5,5.0,0.0,Often,3.5,1.5,1.5,7.0,95.0,Under 15 minutes,Sometimes (Weekly),Yes,3.67,Outstanding / Excellent
Male,18,Province (Rural / Semi-Urban),American University Of Phnom Penh(Aupp),Year 1,Yes,Average,Good,Unemployed / Full-time student,Regular study,5.5,3.0,0.0,Sometimes,5.0,1.5,1.5,7.0,55.0,Under 15 minutes,Rarely (Before exams only),No,3.58,Outstanding / Excellent
Male,19,Phnom Penh (Urban),American University Of Phnom Penh(Aupp),Year 2,Yes,Good,Fair,Unemployed / Full-time student,Irregular study,5.5,1.0,0.0,Always,3.5,1.5,5.0,7.0,95.0,15–30 minutes,Rarely (Before exams only),Yes,3.8,Outstanding / Excellent
Male,20,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 3,No,Good,Good,Working part-time,Irregular study,7.5,1.0,0.0,Always,3.5,0.5,1.5,5.0,95.0,31–60 minutes,Sometimes (Weekly),Yes,3.0,Very Good / Good
Female,20,Phnom Penh (Urban),Royal University Of Phnom Penh(Rupp),Year 2,Yes,Average,Poor,Unemployed / Full-time student,Regular study,7.5,3.0,5.0,Never,5.0,1.5,1.5,5.0,55.0,Under 15 minutes,Sometimes (Weekly),Yes,2.15,At-Risk
Female,20,Province (Rural / Semi-Urban),Royal University Of Phnom Penh(Rupp),Year 3,Yes,Fair,Fair,Unemployed / Full-time student,No fixed habit,7.5,1.0,0.0,Never,3.5,1.5,1.5,7.0,82.0,Under 15 minutes,Rarely (Before exams only),Yes,2.18,At-Risk
Male,21,Phnom Penh (Urban),Cambodia Academy Of Digital Technology(Cadt),Year 2,No,Fair,Poor,Working part-time,Regular study,5.5,4.0,5.0,Rarely,5.0,0.0,5.0,6.0,82.0,15–30 minutes,Rarely (Before exams only),Yes,2.06,At-Risk
